1	   -0.31	    0.95	   -0.03	     Fp1
2	    0.31	    0.95	   -0.03	     Fp2
3	    0.55	    0.67	     0.5	      F4
4	       0	    0.72	    0.69	      Fz
5	   -0.55	    0.67	     0.5	      F3
6	      -1	       0	   -0.03	      T7
7	   -0.72	       0	    0.69	      C3
8	       0	       0	       1	      Cz
9	    0.72	       0	    0.69	      C4
10	       1	       0	   -0.03	      T8
11	    0.55	   -0.67	     0.5	      P4
12	       0	   -0.72	    0.69	      Pz
13	   -0.55	   -0.67	     0.5	      P3
14	   -0.31	   -0.95	   -0.03	      O1
15	       0	      -1	   -0.03	      Oz
16	    0.31	   -0.95	   -0.03	      O2

